activity_identifier,result_ref,indicator_ref,indicator_measure,ascending,aggregation_status,title,description,baseline_year,baseline_iso_date,baseline_value,baseline_comment
US-EIN-521257057-US-EIN-521257057,result_1,indicator_US-EIN-521257057-US-EIN-521257057_result_1_1,1,1,,"Launch of the High Ambition Coalition for Nature and People: At the CBD COP15 in Montreal, WRI and the Global Environment Facility (GEF) became the became the co-secretariat for the High Ambition Coalition for Nature and People (HAC), a coalition of 116 countries committed to protecting at least 30 percent of the world’s land and ocean by 2030 (popularly known as “30x30”).",3 = Achieved; 2 = Carry-over to FY24; 1 = Dropped,,,,
US-EIN-521257057-US-EIN-521257057,result_1,indicator_US-EIN-521257057-US-EIN-521257057_result_1_2,1,1,,"Sustainable Ocean Plans: Following the entrance of several new countries to the High Level Panel for a Sustainable Ocean Economy (now accounting for 50% global coastlines), WRI will work to increase the number of panel members who are embarking on developing Sustainable Ocean Plans to 100% sustainably manage their exclusive economic zones.",3 = Achieved; 2 = Carry-over to FY24; 1 = Dropped,,,,
US-EIN-521257057-US-EIN-521257057,result_2,indicator_US-EIN-521257057-US-EIN-521257057_result_2_1,1,1,,"Bringing WRI’s global Food, Loss & Waste offer to Africa: Using WRI’s global expertise on Food, Loss and Waste — such as through the FLW Protocol, our “target-measure-act” approach and Champions 12.3 — WRI will kick-off a new area of work to drive FLW action in two priority countries (e.g., Kenya and Rwanda).",3 = Achieved; 2 = Carry-over to FY24; 1 = Dropped,,,,
US-EIN-521257057-US-EIN-521257057,result_3,indicator_US-EIN-521257057-US-EIN-521257057_result_3_1,1,1,,"Expanding the Cool Food movement in the US and Europe: This year, WRI will grow the Cool Food movement in the US and Europe to encourage large food providers to “Target, Measure, Act” to reduce the environmental impact of the food they serve; track progress and publish annual report.",3 = Achieved; 2 = Carry-over to FY24; 1 = Dropped,,,,
US-EIN-521257057-US-EIN-521257057,result_4,indicator_US-EIN-521257057-US-EIN-521257057_result_4_1,1,1,,"Tracking Water Action Agenda Commitments: Following the UN Water Conference, hosted by the Netherlands, WRI will support the assessment of commitments submitted to the UN by countries, multilateral organizations, NGOs, universities and companies.",3 = Achieved; 2 = Carry-over to FY24; 1 = Dropped,,,,
US-EIN-521257057-US-EIN-521257057,result_5,indicator_US-EIN-521257057-US-EIN-521257057_result_5_1,1,1,,"Implement the AFR100 Phase 2 strategy in three vital landscapes: Rwanda and DRC’s Rusizi Basin, Kenya’s Great Rift Valley, and Ghana’s Cocoa Belt.",3 = Achieved; 2 = Carry-over to FY24; 1 = Dropped,,,,
US-EIN-521257057-US-EIN-521257057,result_5,indicator_US-EIN-521257057-US-EIN-521257057_result_5_2,1,1,,"WRI will launch TerraFund for India, identifying local community organizations and entrepreneurs in Chhattisgarh, Madhya Pradesh, and Maharashtra and providing them with capacity and capital to restore degraded land.",3 = Achieved; 2 = Carry-over to FY24; 1 = Dropped,,,,
US-EIN-521257057-US-EIN-521257057,result_5,indicator_US-EIN-521257057-US-EIN-521257057_result_5_3,1,1,,Mexico restoration: WRI Mexico will kick off a consortium of 8 organizations to work on restoration projects in 9 states in Mexico for the next 5 years.,3 = Achieved; 2 = Carry-over to FY24; 1 = Dropped,,,,
US-EIN-521257057-US-EIN-521257057,result_5,indicator_US-EIN-521257057-US-EIN-521257057_result_5_4,1,1,,"We will expand WRI’s Restoration Policy Accelerator to Africa. This will be the first cross-regional Policy Accelerator, bringing together Kenya, Ethiopia, Mexico and Guatemala. The work aims to improve incentives for restoring degraded land in the target geographies, with a specific focus on coffee landscapes.",3 = Achieved; 2 = Carry-over to FY24; 1 = Dropped,,,,
US-EIN-521257057-US-EIN-521257057,result_6,indicator_US-EIN-521257057-US-EIN-521257057_result_6_1,1,1,,"India national urbanization policy: An integrated approach to urbanization in India is needed to address the current challenges and lay out pathways to achieving inclusive and equitable economic growth, and low-carbon, climate-resilient urbanization through better spatial planning and infrastructure-integrated development, as well as better urban governance and financing of urban development.",3 = Achieved; 2 = Carry-over to FY24; 1 = Dropped,,,,
US-EIN-521257057-US-EIN-521257057,result_7,indicator_US-EIN-521257057-US-EIN-521257057_result_7_1,1,1,,"India clean air accelerator: WRI India will support capacity building of local governments to develop and implement action plans, and help to fill the gap of trained Clean Air professionals in India.",3 = Achieved; 2 = Carry-over to FY24; 1 = Dropped,,,,
US-EIN-521257057-US-EIN-521257057,result_8,indicator_US-EIN-521257057-US-EIN-521257057_result_8_1,1,1,,"India national urbanization policy: An integrated approach to urbanization in India is needed to address the current challenges and lay out pathways to achieving inclusive and equitable economic growth, and low-carbon, climate-resilient urbanization through better spatial planning and infrastructure-integrated development, as well as better urban governance and financing of urban development.",3 = Achieved; 2 = Carry-over to FY24; 1 = Dropped,,,,
US-EIN-521257057-US-EIN-521257057,result_8,indicator_US-EIN-521257057-US-EIN-521257057_result_8_2,1,1,,"Climate Resilient Cities in Africa: WRI Africa will work with key partners, including African Center for Cities, WaterAid and others, to fundraise for the African Cities Water Adaptation Fund and strategize for fund implementation.",3 = Achieved; 2 = Carry-over to FY24; 1 = Dropped,,,,
US-EIN-521257057-US-EIN-521257057,result_9,indicator_US-EIN-521257057-US-EIN-521257057_result_9_1,1,1,,"India national urbanization policy: An integrated approach to urbanization in India is needed to address the current challenges and lay out pathways to achieving inclusive and equitable economic growth, and low-carbon, climate-resilient urbanization through better spatial planning and infrastructure-integrated development, as well as better urban governance and financing of urban development.",3 = Achieved; 2 = Carry-over to FY24; 1 = Dropped,,,,
US-EIN-521257057-US-EIN-521257057,result_10,indicator_US-EIN-521257057-US-EIN-521257057_result_10_1,1,1,,"India national urbanization policy: An integrated approach to urbanization in India is needed to address the current challenges and lay out pathways to achieving inclusive and equitable economic growth, and low-carbon, climate-resilient urbanization through better spatial planning and infrastructure-integrated development, as well as better urban governance and financing of urban development.",3 = Achieved; 2 = Carry-over to FY24; 1 = Dropped,,,,
US-EIN-521257057-US-EIN-521257057,result_10,indicator_US-EIN-521257057-US-EIN-521257057_result_10_2,1,1,,"Mexico Road Safety Strategy: WRI Mexico has supported the implementation of the new General Law of Mobility and Road Safety, published in May 2022.",3 = Achieved; 2 = Carry-over to FY24; 1 = Dropped,,,,
US-EIN-521257057-US-EIN-521257057,result_11,indicator_US-EIN-521257057-US-EIN-521257057_result_11_1,1,1,,"Mexico Road Safety Strategy: WRI Mexico has supported the implementation of the new General Law of Mobility and Road Safety, published in May 2022.",3 = Achieved; 2 = Carry-over to FY24; 1 = Dropped,,,,
US-EIN-521257057-US-EIN-521257057,result_12,indicator_US-EIN-521257057-US-EIN-521257057_result_12_1,1,1,,"Environmental and social impact assessments for offshore wind: In a joint collaboration between WRI India, Energy and Food, Land & Water programs, WRI will conduct research to develop a framework on environmental and social impact assessments for offshore wind energy projects in India.",3 = Achieved; 2 = Carry-over to FY24; 1 = Dropped,,,,
